restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,Popularity Score
SVR Foods - Night Ka Khana,Delivery,3.5,15,400.0,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala",JP Nagar,52.5
Swaad,Quick Bites,3.1,25,200.0,Yes,No,North Indian,Indiranagar,Jeevan Bhima Nagar,77.5
Swaadam Veg,Casual Dining,3.6,34,300.0,Yes,No,"South Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM,122.4
Swaadishta Restaurant,Casual Dining,2.5,60,750.0,No,No,"Andhra, North Indian, Chinese, Mangalorean",Malleshwaram,Sadashiv Nagar,150.0
Swaadpurna,Casual Dining,3.6,51,450.0,Yes,No,"North Indian, South Indian, Chinese, Biryani",Indiranagar,Jeevan Bhima Nagar,183.6
Swad,Casual Dining,3.7,38,500.0,No,No,"North Indian, Chinese",Electronic City,Electronic City,140.6
Swad E Punjab,Casual Dining,3.4,6,600.0,No,No,North Indian,Brookefield,Whitefield,20.4
Swad 'E' Punjab,Casual Dining,3.6,49,500.0,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala",HSR,176.4
Swad Plaza,Quick Bites,3.4,6,400.0,Yes,No,"North Indian, Chinese",Bannerghatta Road,BTM,20.4
Swad Punjab Da,Quick Bites,3.7,41,150.0,Yes,No,North Indian,Bannerghatta Road,BTM,151.70000000000002
Swad Punjabi Dhaba,Quick Bites,3.6,20,300.0,No,No,North Indian,Marathahalli,Thippasandra,72.0
Swad Rajasthani Bhojanalaya,Quick Bites,3.1,7,400.0,No,No,"North Indian, Fast Food",Whitefield,Whitefield,21.7
Swad Restaurant,Casual Dining,3.7,115,500.0,Yes,No,"North Indian, Chinese, Seafood",Jayanagar,BTM,425.5
Swadd Kitchen,Casual Dining,3.4,4,500.0,Yes,No,"North Indian, Fast Food",Banashankari,Basavanagudi,13.6
Swad-Deshi Restaurant,Quick Bites,3.5,13,300.0,Yes,No,"South Indian, Chinese",Brookefield,Marathahalli,45.5
Swadesh Tadka,Casual Dining,3.5,179,600.0,Yes,No,"North Indian, Chinese, Beverages",Banashankari,Banashankari,626.5
Swadh Biryani Tandoori Spot,Quick Bites,2.8,40,200.0,No,No,"Biryani, Fast Food",Malleshwaram,Malleshwaram,112.0
Swadisht Inn,Casual Dining,3.5,15,700.0,No,No,"Andhra, South Indian, Biryani, North Indian, Mangalorean",Malleshwaram,Rajajinagar,52.5
Swadisht North Indian Restaurant,Quick Bites,3.2,23,200.0,No,No,North Indian,HSR,HSR,73.60000000000001
Swadishta,Quick Bites,3.4,7,200.0,No,No,"South Indian, Chinese, North Indian",Whitefield,Whitefield,23.8
Swadist Pakhal Restaurant,Casual Dining,3.5,16,550.0,Yes,No,"North Indian, Chinese, Bengali",Sarjapur Road,Sarjapur Road,56.0
Swadist Restaurant,Quick Bites,3.4,16,300.0,No,No,"Oriya, South Indian, Fast Food",Marathahalli,Marathahalli,54.4
Swadista Aahar,Quick Bites,4.1,775,300.0,Yes,No,"South Indian, North Indian, Chinese, Street Food",Bannerghatta Road,BTM,3177.4999999999995
Swagatham Delux - Rayalaseema Spices,Casual Dining,3.4,24,600.0,Yes,No,"Biryani, South Indian, Chinese",Kalyan Nagar,Nagawara,81.6
Swarga Ruchi,Quick Bites,3.3,10,200.0,Yes,No,South Indian,Banashankari,Basavanagudi,33.0
Swasthaa,Casual Dining,2.8,40,600.0,No,No,"Continental, Desserts, Italian, Japanese, Mexican",Brigade Road,Sanjay Nagar,112.0
Swasthi Spice Restaurant,Casual Dining,3.4,589,600.0,Yes,No,"Andhra, North Indian, Chinese, Biryani",Malleshwaram,Rajajinagar,2002.6
Swathi,Casual Dining,3.8,591,700.0,Yes,No,"Andhra, North Indian, Chinese",Malleshwaram,Rajajinagar,2245.7999999999997
Swathi Delux,Casual Dining,3.2,11,450.0,No,No,"North Indian, Chinese, Andhra",Rajajinagar,Majestic,35.2
Swathi Deluxe,Casual Dining,3.9,218,750.0,Yes,Yes,"North Indian, Seafood, Chinese, Biryani",Bellandur,Marathahalli,850.1999999999999
Swathi Deluxe Restaurant,Casual Dining,2.9,75,500.0,Yes,No,North Indian,Lavelle Road,Shanti Nagar,217.5
Swathi Greenland,"Casual Dining, Bar",3.7,174,800.0,Yes,No,"Andhra, North Indian, Chinese",Rajajinagar,Vijay Nagar,643.8000000000001
Swathi Maharaja,Casual Dining,3.7,291,750.0,Yes,Yes,"Andhra, North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,1076.7
Swathi Restaurant,Casual Dining,3.8,34,600.0,No,No,"Chinese, North Indian, South Indian",Rajajinagar,Seshadripuram,129.2
Swathi Restaurant - The Vintage Inn,Casual Dining,3.8,36,900.0,Yes,No,"Andhra, North Indian",Electronic City,Electronic City,136.79999999999998
Swathi Spice n Ice,Casual Dining,3.5,165,700.0,Yes,No,"Andhra, North Indian, Chinese",HSR,HSR,577.5
Swati Cafe,Cafe,2.9,8,500.0,No,No,"Cafe, Fast Food",Basavanagudi,Shanti Nagar,23.2
Sweet Alley,"Takeaway, Delivery",3.4,6,400.0,No,No,Desserts,Brookefield,Marathahalli,20.4
Sweet Chariot,Bakery,2.7,19,500.0,No,No,"Bakery, Fast Food",New BEL Road,New BEL Road,51.300000000000004
Sweet Chariot Cafe,Dessert Parlor,3.8,113,500.0,Yes,No,"Continental, Fast Food, Beverages, Desserts",Brigade Road,Residency Road,429.4
Sweet Moments Express,"Sweet Shop, Quick Bites",3.7,18,200.0,Yes,No,"Mithai, Street Food",Kalyan Nagar,Kammanahalli,66.60000000000001
Sweet N Swirl,Dessert Parlor,3.2,17,150.0,No,No,"Desserts, Ice Cream",Banashankari,Banashankari,54.400000000000006
Sweet Nothings Couture Cupcakes,"Takeaway, Delivery",3.4,6,250.0,No,No,"Desserts, Bakery",Whitefield,Whitefield,20.4
Sweet Revenge,"Bakery, Quick Bites",3.3,9,300.0,No,No,"Bakery, Fast Food",Electronic City,Electronic City,29.7
Sweet Revenge Bake N Cafe,Quick Bites,2.8,40,200.0,No,No,"Bakery, Fast Food, Cafe",Electronic City,Electronic City,112.0
Sweet Tooth - Do you have one?,"Takeaway, Delivery",3.3,4,600.0,No,No,"Bakery, Desserts",Whitefield,Whitefield,13.2
Sweet Truth,Bakery,2.8,40,500.0,Yes,No,"Bakery, Desserts",Basavanagudi,Basavanagudi,112.0
Swing,"Casual Dining, Bar",3.8,201,1000.0,No,Yes,"North Indian, Chinese, Mangalorean",Indiranagar,Indiranagar,763.8
Swiss Bakery Cafe - Gokulam Grand Hotel & Spa,"Cafe, Bakery",3.3,6,400.0,No,No,"Cafe, Bakery",New BEL Road,New BEL Road,19.799999999999997
Symas,Quick Bites,3.7,34,200.0,Yes,No,"Fast Food, Beverages",Malleshwaram,RT Nagar,125.80000000000001
Szechuan Dragon,Casual Dining,4.2,1647,600.0,Yes,No,"Chinese, Thai, Momos",Banashankari,Banashankari,6917.400000000001
Szechwan Court - The Oberoi,Fine Dining,4.1,168,2500.0,No,No,Chinese,Brigade Road,MG Road,688.8
T Square,Quick Bites,3.2,4,150.0,Yes,No,"Fast Food, Street Food",Bellandur,Sarjapur Road,12.8
T.A.K - That Affordable Kitchen,"Takeaway, Delivery",3.2,4,400.0,Yes,No,"Continental, North Indian",Bellandur,HSR,12.8
T3H Cafe,Cafe,3.9,93,300.0,No,No,"Cafe, Italian, American",Banashankari,Banashankari,362.7
T4U Cafe,Quick Bites,3.6,17,400.0,No,No,"Chinese, Fast Food, Beverages",Kalyan Nagar,Banaswadi,61.2
Ta'aam,Casual Dining,4.1,402,750.0,Yes,No,"North Indian, Mughlai, Arabian, Chinese",Brigade Road,Cunningham Road,1648.1999999999998
Taantraa - Organic Handbaking,Delivery,3.7,28,350.0,No,No,"Bakery, Desserts",Old Airport Road,Indiranagar,103.60000000000001
Taaza Mithai,Sweet Shop,3.8,47,100.0,Yes,No,"Mithai, Street Food","Byresandra,Tavarekere,Madiwala",JP Nagar,178.6
Taaza Thindi,Quick Bites,4.7,651,100.0,No,No,South Indian,Banashankari,Banashankari,3059.7000000000003
TAB - Take A Break,Cafe,4.1,521,550.0,No,No,"Cafe, Continental, Italian",Bannerghatta Road,JP Nagar,2136.1
Taco Bell,Quick Bites,3.7,168,600.0,Yes,No,"Mexican, American, Fast Food",Bannerghatta Road,Bannerghatta Road,621.6
Tadka Punjabi Restaurant,Quick Bites,3.3,9,300.0,Yes,No,North Indian,Whitefield,Whitefield,29.7
Tadkawala,"Takeaway, Delivery",3.4,71,200.0,Yes,No,North Indian,Frazer Town,Vasanth Nagar,241.4
Taiki,Casual Dining,2.8,40,1000.0,Yes,Yes,"Asian, Japanese, Korean, Thai, Sushi",Indiranagar,Indiranagar,112.0
Taipan,Casual Dining,3.5,126,700.0,Yes,No,"Chinese, Momos",Brigade Road,Frazer Town,441.0
Taishty,Quick Bites,3.7,66,200.0,Yes,No,North Indian,Whitefield,Whitefield,244.20000000000002
Taiyvan's,Casual Dining,3.7,101,500.0,Yes,No,"Chinese, Thai, Seafood, Malaysian",Malleshwaram,RT Nagar,373.70000000000005
Taj Darbar,Casual Dining,3.8,149,600.0,Yes,No,"Biryani, Mughlai, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,566.1999999999999
Taj Durbar,Quick Bites,3.8,83,400.0,No,No,"North Indian, BBQ","Byresandra,Tavarekere,Madiwala",Jayanagar,315.4
Taj Hotel,Casual Dining,3.7,110,550.0,Yes,No,"North Indian, Chinese",Church Street,Shivajinagar,407.0
Taj Restaurant,Quick Bites,3.8,68,400.0,No,No,"North Indian, Biryani",Basavanagudi,City Market,258.4
Take 5,Lounge,3.5,10,1300.0,No,No,"Chinese, Continental, Steak",Indiranagar,Indiranagar,35.0
Take A Break,Casual Dining,3.4,7,600.0,No,No,North Indian,Basavanagudi,Shanti Nagar,23.8
Take EAT Easy,"Takeaway, Delivery",3.6,20,200.0,Yes,No,North Indian,Bellandur,Sarjapur Road,72.0
Take It!,Delivery,3.1,39,450.0,Yes,No,"Continental, Chinese, Fast Food",Brookefield,Marathahalli,120.9
Talk Ease,Cafe,3.1,10,200.0,No,No,Cafe,Brigade Road,City Market,31.0
Talk Over Table,Cafe,4.0,282,500.0,No,No,Cafe,Indiranagar,Jeevan Bhima Nagar,1128.0
Talk Over Table Cafe,Cafe,3.7,85,500.0,No,No,"Cafe, Italian, Beverages",HSR,HSR,314.5
Talk To The Hand,Bar,3.3,4,900.0,No,No,"Chinese, North Indian",Lavelle Road,Majestic,13.2
Tall Blonde French,Quick Bites,3.6,82,400.0,Yes,No,Fast Food,Marathahalli,Brookefield,295.2
Tamarind,Casual Dining,2.7,227,750.0,Yes,No,"Chinese, North Indian, Continental",Kalyan Nagar,Rammurthy Nagar,612.9000000000001
Tamarind - Tamarind Hospitality,Casual Dining,3.9,611,750.0,Yes,No,"Chinese, Continental, North Indian",Kalyan Nagar,Banaswadi,2382.9
Tandoor,Fine Dining,3.9,1360,2100.0,Yes,Yes,North Indian,Indiranagar,MG Road,5304.0
Tandoor And Spice,Casual Dining,4.0,180,550.0,Yes,No,"North Indian, Chinese, Biryani, Hyderabadi",Bannerghatta Road,JP Nagar,720.0
Tandoor Bhatti,Quick Bites,2.8,40,300.0,Yes,No,"North Indian, Fast Food",Kalyan Nagar,Rammurthy Nagar,112.0
Tandoor Box,Casual Dining,3.5,69,850.0,Yes,No,"Mughlai, North Indian, Biryani",Brookefield,Brookefield,241.5
Tandoor Chai House,Quick Bites,2.8,40,200.0,Yes,No,"Street Food, Sandwich, Rolls, Beverages",Bannerghatta Road,JP Nagar,112.0
Tandoor Da Funda,Quick Bites,3.6,15,350.0,No,No,North Indian,Brigade Road,MG Road,54.0
Tandoor Garden,Quick Bites,3.6,70,350.0,Yes,No,"North Indian, Chinese, Kebab",Bannerghatta Road,BTM,252.0
Tandoor Hub & Golmaal Paratha,Quick Bites,3.2,4,450.0,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",BTM,12.8
Tandoor Hut,Casual Dining,2.2,90,750.0,No,No,"North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,198.00000000000003
Tandoor Merchant,"Takeaway, Delivery",3.4,22,500.0,Yes,No,"North Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala",BTM,74.8
Tandoor Nation,Quick Bites,3.0,39,400.0,Yes,No,"North Indian, Chinese",Bannerghatta Road,BTM,117.0
Tandoor-De-Naal,"Takeaway, Delivery",3.8,35,200.0,No,No,Fast Food,"Byresandra,Tavarekere,Madiwala",BTM,133.0
Tandoori Bytes,Casual Dining,3.6,59,700.0,Yes,No,North Indian,Banashankari,Kumaraswamy Layout,212.4
Tandoori Chowk,Quick Bites,3.5,98,400.0,Yes,No,"North Indian, Chinese",Marathahalli,Marathahalli,343.0
Tandoori Club,Casual Dining,2.8,40,750.0,Yes,No,"North Indian, Chinese, Continental",Bellandur,HSR,112.0
Tandoori Delight,Quick Bites,3.0,46,300.0,Yes,No,"North Indian, Chinese",New BEL Road,New BEL Road,138.0
Tandoori Junction,Quick Bites,3.9,81,400.0,Yes,No,"North Indian, Chinese, Biryani",Brookefield,Marathahalli,315.9
Tandoori Knight,Quick Bites,3.0,290,450.0,Yes,No,"North Indian, Chinese, Biryani, Kebab",Banashankari,Banashankari,870.0
Tandoori Paradise,Delivery,3.5,8,600.0,Yes,No,"North Indian, Chinese",Bannerghatta Road,BTM,28.0
Tandoori Spot,Quick Bites,3.5,13,500.0,No,No,"North Indian, Chinese",Bannerghatta Road,JP Nagar,45.5
Tandoori Taal,Casual Dining,4.3,1788,900.0,Yes,Yes,"Biryani, North Indian",Indiranagar,Indiranagar,7688.4
Tandoorinn,Quick Bites,3.2,5,300.0,No,No,"Biryani, Mughlai, Chinese",Indiranagar,Old Madras Road,16.0
Tandooriwala,"Food Court, Quick Bites",2.7,24,700.0,Yes,No,"North Indian, Mughlai",Brookefield,Whitefield,64.80000000000001
Tandurust,"Takeaway, Delivery",3.6,27,300.0,No,No,"North Indian, South Indian",Bellandur,Bellandur,97.2
Tang of Jamaica,Casual Dining,3.4,28,900.0,No,No,"American, Mexican, BBQ",Kalyan Nagar,Kalyan Nagar,95.2
Tangerine - Davanam Sarovar Portico Suites,Casual Dining,4.0,40,1100.0,Yes,Yes,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","Byresandra,Tavarekere,Madiwala",Koramangala 2nd Block,160.0
Tango,Quick Bites,3.8,51,200.0,No,No,Fast Food,Rajajinagar,Basaveshwara Nagar,193.79999999999998
Tango Bango,"Takeaway, Delivery",3.5,124,500.0,Yes,No,"Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",Indiranagar,Jeevan Bhima Nagar,434.0
Tango Sandwich King,Quick Bites,3.5,9,200.0,Yes,No,"Fast Food, Sandwich",Rajajinagar,Basaveshwara Nagar,31.5
Tangra Indo - Chinese Cuisine,Food Court,3.5,29,400.0,Yes,No,"Chinese, Thai",Jayanagar,Jayanagar,101.5
TangyLicious,"Takeaway, Delivery",2.6,16,400.0,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",BTM,41.6
Tanna's Kitchen,Quick Bites,3.1,7,250.0,Yes,No,"Italian, Chinese, Street Food",Banashankari,Kumaraswamy Layout,21.7
Tanoor Tandoori,Delivery,2.8,40,550.0,Yes,No,"North Indian, Mughlai, Chinese, Kebab, Biryani",Bellandur,Bellandur,112.0
Tanuja Home Food,Delivery,3.1,18,300.0,Yes,No,North Indian,Brookefield,Whitefield,55.800000000000004
Tap House Resto Bar,"Casual Dining, Bar",3.4,183,900.0,Yes,Yes,"Chinese, North Indian, Thai",Electronic City,Electronic City,622.1999999999999
Tapout Tavern,"Casual Dining, Pub",4.1,322,1200.0,Yes,Yes,"American, Asian, Continental, North Indian, South Indian, Chinese",Bellandur,Sarjapur Road,1320.1999999999998
Tapri By The Corner,Quick Bites,4.1,205,250.0,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,840.4999999999999
Tarama Bengali Food,Quick Bites,3.2,4,200.0,No,No,Bengali,Whitefield,Whitefield,12.8
Tarbouche,Kiosk,2.8,40,300.0,Yes,No,"Turkish, Rolls",Basavanagudi,Jayanagar,112.0
Targaryen's Kitchen,Casual Dining,3.6,25,550.0,No,No,"North Indian, Bengali, Chinese",Jayanagar,JP Nagar,90.0
Tarlette,Bakery,2.8,40,560.0,No,No,"Bakery, Fast Food",HSR,HSR,112.0
Taruni Andhra Mess,Mess,3.6,23,200.0,No,No,Andhra,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,82.8
Taste of Assam,Quick Bites,3.2,23,400.0,Yes,No,"Assamese, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,73.60000000000001
Taste of Bihar,"Takeaway, Delivery",3.7,29,300.0,Yes,No,Bihari,Kammanahalli,Rammurthy Nagar,107.30000000000001
Taste Of India,Quick Bites,3.1,5,400.0,No,No,"North Indian, Rolls",Bellandur,Bellandur,15.5
Taste Of India Family Restaurant,Quick Bites,3.2,232,400.0,Yes,No,"North Indian, South Indian",Whitefield,Whitefield,742.4000000000001
Taste Of Kerala,Casual Dining,2.2,48,600.0,No,No,"Kerala, Seafood",Brigade Road,Residency Road,105.60000000000001
Taste Of Kolkata,Quick Bites,3.1,59,400.0,Yes,No,"Bengali, Chinese, Rolls",Bannerghatta Road,BTM,182.9
Taste Of Malabar,Quick Bites,3.6,23,350.0,Yes,No,"South Indian, Kerala, Chinese","Byresandra,Tavarekere,Madiwala",BTM,82.8
Taste Of Nawaabs,Casual Dining,3.5,324,600.0,Yes,No,"North Indian, Mughlai",Kalyan Nagar,Banaswadi,1134.0
Taste Of Nawaab's,Casual Dining,3.6,22,600.0,No,No,"North Indian, Chinese",Indiranagar,Domlur,79.2
Taste of Nepal,Quick Bites,3.4,27,300.0,Yes,No,Chinese,Residency Road,Koramangala 8th Block,91.8
Taste Of Tibet,Quick Bites,4.0,336,300.0,No,No,"Tibetan, Chinese, Momos",Brigade Road,Brigade Road,1344.0
Tastebuds,"Bakery, Quick Bites",3.7,23,300.0,Yes,No,"Bakery, Fast Food",Bellandur,Sarjapur Road,85.10000000000001
Tastie's,"Quick Bites, Beverage Shop",3.2,10,150.0,No,No,"Fast Food, Beverages, Ice Cream",Malleshwaram,Basaveshwara Nagar,32.0
Tasting Room - Bengaluru Oota Company,Casual Dining,4.0,58,2000.0,No,No,"Mangalorean, South Indian",Brigade Road,Ulsoor,232.0
Tastte!!,Quick Bites,3.7,21,450.0,Yes,No,"Biryani, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,77.7
Tasty Bites,Quick Bites,3.7,21,150.0,No,No,"Fast Food, Pizza",Banashankari,Banashankari,77.7
Tasty Box,Quick Bites,2.9,6,250.0,Yes,No,"North Indian, South Indian, Arabian, Mughlai, Chinese, Biryani",Malleshwaram,Yeshwantpur,17.4
Tasty Bytes,Quick Bites,3.1,245,300.0,Yes,No,"North Indian, Chinese, Momos, Rolls",Banashankari,Kumaraswamy Layout,759.5
Tasty Corner,Quick Bites,3.6,13,200.0,No,No,South Indian,New BEL Road,New BEL Road,46.800000000000004
Tasty Fast Food,Quick Bites,3.2,4,250.0,No,No,"North Indian, Chinese",New BEL Road,New BEL Road,12.8
Tasty Food,Quick Bites,2.8,40,300.0,Yes,No,"North Indian, Chinese",Brookefield,Whitefield,112.0
Tasty Funda,Quick Bites,3.3,4,200.0,No,No,"North Indian, Chinese",Electronic City,Electronic City,13.2
Tasty Homely Food,"Takeaway, Delivery",2.8,40,350.0,Yes,No,"North Indian, Chinese, Fast Food, Street Food, Mithai",Brookefield,"ITPL Main Road, Whitefield",112.0
Tasty Jigarthanda,Beverage Shop,3.4,10,150.0,Yes,No,"Beverages, Ice Cream",Bannerghatta Road,BTM,34.0
Tasty Khaana Khazana,Quick Bites,3.3,6,300.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli,19.799999999999997
Tasty King,Quick Bites,3.4,8,400.0,No,No,"South Indian, North Indian, Chinese",Lavelle Road,RT Nagar,27.2
Tasty Kitchens,Quick Bites,2.8,40,500.0,Yes,No,Pizza,Koramangala 4th Block,Koramangala 6th Block,112.0
Tasty Magic,Casual Dining,2.7,73,600.0,Yes,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM,197.10000000000002
Tasty Munch,Quick Bites,3.6,60,200.0,Yes,No,"Fast Food, Street Food, Momos",Malleshwaram,Rajajinagar,216.0
Tasty Noodle,Quick Bites,3.4,5,400.0,Yes,No,"Chinese, Seafood","Byresandra,Tavarekere,Madiwala",HSR,17.0
Tasty Paradise,Casual Dining,3.7,98,550.0,Yes,No,"North Indian, Mughlai, Chinese, Beverages",Lavelle Road,Malleshwaram,362.6
Tasty Point,Delivery,3.3,9,300.0,Yes,No,"Burger, Sandwich, Finger Food",Bannerghatta Road,Bannerghatta Road,29.7
Tasty Restaurant,Quick Bites,2.8,40,300.0,No,No,"Kerala, South Indian, Chinese",Bannerghatta Road,JP Nagar,112.0
Tasty Treat,Quick Bites,3.1,131,400.0,Yes,No,"North Indian, Chinese, Biryani, Rolls",HSR,HSR,406.1
Tasty Yum,Quick Bites,2.8,40,300.0,No,No,"South Indian, Mughlai",Bellandur,Sarjapur Road,112.0
Tastybites.com,Quick Bites,3.7,82,150.0,Yes,No,"Fast Food, Sandwich, South Indian",Brookefield,Brookefield,303.40000000000003
Tata Cha,"Beverage Shop, Cafe",3.2,9,500.0,Yes,No,"Cafe, Tea, North Indian",Malleshwaram,Malleshwaram,28.8
Tattva Cafe,Cafe,2.8,227,450.0,No,No,Cafe,Koramangala 4th Block,Koramangala 6th Block,635.5999999999999
Tawa,Quick Bites,3.4,25,200.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,85.0
Tawa Fresh,Quick Bites,3.4,12,300.0,Yes,No,"Seafood, Biryani, South Indian, North Indian, Rolls",Kalyan Nagar,Hennur,40.8
Tawa Ghar Ka,Quick Bites,3.8,331,350.0,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",HSR,1257.8
Tawa Tandoor,Casual Dining,3.9,116,700.0,Yes,Yes,"North Indian, Chinese",New BEL Road,New BEL Road,452.4
Tayabbs,Quick Bites,3.0,9,500.0,Yes,No,"Rolls, North Indian, Fast Food",Church Street,Frazer Town,27.0
Tayo Restaurant,Casual Dining,3.9,44,600.0,No,No,"North Indian, Chinese, Mughlai",Electronic City,Electronic City,171.6
Taza Khaana,Delivery,3.0,175,450.0,Yes,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",HSR,525.0
Taza Tawa,Casual Dining,3.2,41,550.0,No,No,"North Indian, Chinese, Kebab, Beverages",Sarjapur Road,Sarjapur Road,131.20000000000002
TBC - The Breakfast Company,Quick Bites,3.8,26,150.0,Yes,No,"Bihari, North Indian, South Indian",Brookefield,Marathahalli,98.8
TBC Sky Lounge,"Casual Dining, Bar",4.7,6745,1000.0,No,Yes,"Continental, Asian, Italian, North Indian",HSR,HSR,31701.5
TBC- Sky Lounge,"Casual Dining, Bar",4.4,619,1000.0,No,Yes,"Continental, Asian, Italian, North Indian",Marathahalli,Marathahalli,2723.6000000000004
Tea Addict,Cafe,4.0,77,300.0,Yes,No,"Cafe, Beverages",HSR,HSR,308.0
Tea and Wine Lounge,Cafe,3.5,10,800.0,No,No,"Cafe, Tea, Desserts",Brigade Road,Race Course Road,35.0
Tea Break Lounge,Quick Bites,3.3,5,400.0,Yes,No,"Beverages, Fast Food",Brigade Road,Brigade Road,16.5
Tea Brew,"Cafe, Casual Dining",4.1,1141,500.0,Yes,No,"Cafe, Continental, Momos, Italian, North Indian",Indiranagar,Indiranagar,4678.099999999999
Tea Samskruthi,Cafe,3.9,18,200.0,No,No,Cafe,Malleshwaram,Malleshwaram,70.2
Tea Totallers,Cafe,2.9,19,500.0,Yes,No,"Cafe, Continental, Tea",Bellandur,Bellandur,55.1
Tea Trails,Cafe,2.8,40,600.0,Yes,No,"Continental, Tea, Fast Food, Italian",Koramangala 4th Block,HSR,112.0
Tea Villa Cafe,"Cafe, Casual Dining",4.2,656,800.0,No,Yes,"Cafe, Continental, Mediterranean, Italian, Desserts",Jayanagar,Jayanagar,2755.2000000000003
TeamDelish,Delivery,3.4,9,300.0,No,No,Healthy Food,Electronic City,Electronic City,30.599999999999998
Teapoy Mutiny,Cafe,4.1,98,500.0,Yes,No,"Cafe, Continental, American, Beverages",Kalyan Nagar,Hennur,401.79999999999995
Tease Whitefield,Lounge,3.7,64,1800.0,No,Yes,Finger Food,Whitefield,Whitefield,236.8
Teashot,Cafe,2.9,24,150.0,No,No,Cafe,Brookefield,Whitefield,69.6
Teburu,Casual Dining,4.4,203,800.0,Yes,No,"Asian, Chinese, Japanese, BBQ",Kalyan Nagar,Kalyan Nagar,893.2
Techies Kitchen,Delivery,3.5,197,400.0,Yes,No,"Biryani, North Indian",Whitefield,"ITPL Main Road, Whitefield",689.5
Tella Tales,Cafe,4.2,413,700.0,Yes,No,"Cafe, Desserts, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,1734.6000000000001
Tellimagic Restaurant,Quick Bites,3.5,12,400.0,Yes,No,"North Indian, South Indian, Chinese",Electronic City,Electronic City,42.0
Telugu Velugu,Food Court,3.0,6,300.0,No,No,"South Indian, Biryani",Bellandur,Bellandur,18.0
Temple Meals,Quick Bites,3.8,76,200.0,No,No,South Indian,Malleshwaram,Malleshwaram,288.8
Temptation,Quick Bites,2.8,40,300.0,No,No,"North Indian, South Indian",Brookefield,Whitefield,112.0
Tempteys,"Beverage Shop, Dessert Parlor",3.7,39,500.0,Yes,No,Beverages,Bellandur,HSR,144.3
Tempura Restaurant,Casual Dining,3.9,122,500.0,No,No,"Japanese, Chinese, Tibetan, Momos",Brigade Road,Brigade Road,475.8
Tenco Infusions,Beverage Shop,3.5,15,200.0,No,No,"Beverages, Salad",Indiranagar,Indiranagar,52.5
Tenzin Kitchen,Quick Bites,4.2,522,450.0,Yes,No,"Tibetan, Chinese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block,2192.4
Teppan Japanese Grill & Sushi Bar,Casual Dining,4.3,901,2000.0,Yes,No,Japanese,Brigade Road,Ulsoor,3874.2999999999997
Terminus Tiffin Meal Service,Delivery,2.8,40,200.0,No,No,North Indian,New BEL Road,North Bangalore,112.0
Terra Bites,"Cafe, Casual Dining",4.0,61,700.0,Yes,No,"Cafe, Italian, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block,244.0
Terrace Lounge,Lounge,3.6,25,1600.0,No,No,"North Indian, Chinese, Seafood",Bannerghatta Road,Bannerghatta Road,90.0
Terracotta Whitefield,Fine Dining,4.0,244,3000.0,No,Yes,"North Indian, Lucknowi, Afghan",Whitefield,Whitefield,976.0
Tetto,"Casual Dining, Bar",3.7,130,1200.0,Yes,No,Continental,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block,481.0
Tewari Bros Mithai Shoppie,Sweet Shop,3.8,59,300.0,Yes,No,"Fast Food, Mithai",Brigade Road,Commercial Street,224.2
TFC - Tony's Food Corner,Casual Dining,3.1,23,400.0,Yes,No,"North Indian, Chinese",Indiranagar,"ITPL Main Road, Whitefield",71.3
TFI - The Fresh Ice Cream,Dessert Parlor,3.2,41,400.0,Yes,No,"Ice Cream, Beverages",Bannerghatta Road,Bannerghatta Road,131.20000000000002
TGI Fridays,Lounge,3.9,1337,1700.0,Yes,Yes,"American, Burger, Italian, Steak",Bannerghatta Road,Bannerghatta Road,5214.3
